,ZipCode,City,State,Latitude,Longitude,Metro,CountyName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,Latitude,Longitude
0,55124,Apple Valley,MN,44.7319094,-93.21772,Minneapolis-St. Paul-Bloomington,Dakota County,472,210700.0,212900.0,214300.0,215700.0,217600.0,219200.0,220200.0,220900.0,221900.0,222600.0,222600.0,222300.0,222600.0,223600.0,225200.0,226600.0,227300.0,227600.0,227900,228200,228800,229200,229000,229300,230600,232100,233200,234100,234800,235700,237400,239100,240900,242800,244100,244500,244800,246200,248300,250500,252400,254400,255000,254100,253600,254000,255000,256500,258000,259500,261600,264000,266300,267600,268100,268800,269800,271000,272300,273900,275600,276800,44.7319094,-93.21772
1,55044,Lakeville,MN,44.650051,-93.2432791,Minneapolis-St. Paul-Bloomington,Dakota County,779,272600.0,273700.0,274500.0,276000.0,278500.0,280700.0,282100.0,282500.0,282500.0,282400.0,281900.0,281200.0,281900.0,283800.0,286300.0,288100.0,289800.0,290700.0,290900,291300,293300,295300,296200,297400,299400,301200,303000,304900,306000,307400,309300,311200,313300,315600,316600,316600,317300,319200,321800,324100,325900,327700,328000,326700,325400,325500,326600,327900,329800,333000,337000,340200,342800,343900,344300,344400,344700,345900,347400,349000,350600,352000,44.650051,-93.2432791
2,55337,Burnsville,MN,44.7677424,-93.2777226,Minneapolis-St. Paul-Bloomington,Dakota County,806,209600.0,210700.0,211400.0,212700.0,214700.0,216600.0,217900.0,219000.0,219800.0,220300.0,220400.0,219900.0,219600.0,220400.0,221900.0,222800.0,223400.0,223400.0,222900,222700,223300,223600,223100,223400,224800,226400,228300,230200,231400,232900,234800,236000,237500,239500,241300,242300,243500,245100,247000,248800,250400,252000,252400,252000,251600,251600,251900,252700,254000,255800,258200,260700,262700,263800,264400,265400,266300,267300,268600,270300,272100,273500,44.7677424,-93.2777226
3,55106,Saint Paul,MN,44.9504037,-93.1015026,Minneapolis-St. Paul-Bloomington,Ramsey County,841,120900.0,122100.0,123900.0,125800.0,127100.0,128200.0,128800.0,129200.0,129800.0,130300.0,130300.0,130000.0,129900.0,130500.0,131600.0,132300.0,133200.0,134700.0,136600,138500,139700,140600,141700,142200,142400,143300,144500,145100,145800,146800,148500,150800,153000,154300,155000,156100,157500,159000,160200,161400,162700,164100,165700,167300,169200,170800,171500,172300,174200,176200,177700,179000,179900,179900,180100,180100,180000,180700,182200,183600,184700,185600,44.9504037,-93.1015026
4,55303,Ramsey,MN,45.0165728,-93.0949501,Minneapolis-St. Paul-Bloomington,Anoka County,850,183600.0,183000.0,183200.0,184500.0,185600.0,186200.0,187600.0,189100.0,190100.0,190700.0,191000.0,191500.0,192400.0,193500.0,194800.0,196500.0,198800.0,200500.0,201100,201000,200900,201100,201900,202700,203500,204900,206800,208200,209200,211000,213100,214600,216300,218200,219900,222000,223700,224800,226300,228500,229800,230400,231000,232300,234000,234600,234100,234400,236600,239100,240500,241700,243200,244200,244800,246400,248500,249800,250800,252100,253900,255200,45.0165728,-93.0949501
5,55113,Roseville,MN,45.0060767,-93.1566107,Minneapolis-St. Paul-Bloomington,Ramsey County,948,213000.0,213600.0,215300.0,217100.0,217900.0,218100.0,218600.0,219000.0,219000.0,218800.0,218500.0,218100.0,218000.0,218200.0,218400.0,218600.0,219300.0,220300.0,221800,223400,224500,225400,225800,225600,225900,226700,227200,227000,227000,227300,228400,230700,233400,234700,235200,236500,238400,239900,241100,242700,244400,246100,247800,250100,252700,254700,255900,257200,259000,260400,261600,263100,264700,265300,265600,265800,266100,266600,267800,269100,270100,270900,45.0060767,-93.1566107
6,55104,Saint Paul,MN,44.9504037,-93.1015026,Minneapolis-St. Paul-Bloomington,Ramsey County,955,162500.0,163000.0,164700.0,166400.0,167200.0,167900.0,168500.0,169100.0,169500.0,169700.0,169800.0,169800.0,170200.0,170700.0,171300.0,172100.0,174200.0,177500.0,180500,182700,184400,185400,185600,185200,185300,186400,187600,188600,190000,191000,191600,192400,193700,195100,196400,197700,199700,201900,203800,205600,207700,209700,211200,213300,216900,219500,220300,221100,222900,224700,226000,227500,228400,227900,227600,228000,227900,228400,230200,232000,233500,234800,44.9504037,-93.1015026
7,55112,New Brighton,MN,45.0628999,-93.2060969,Minneapolis-St. Paul-Bloomington,Ramsey County,1007,200800.0,201000.0,203000.0,205500.0,207600.0,209000.0,209900.0,210500.0,211500.0,212200.0,212300.0,212400.0,213400.0,214500.0,215300.0,216200.0,217300.0,218700.0,219800,220600,221200,221800,222200,222600,223000,223800,224300,224500,225100,226300,227700,229800,232300,234500,235800,237200,239200,241400,243200,245300,247600,250100,252300,254200,255700,256600,256900,257100,257300,257000,256700,257200,257800,258000,258700,259700,260600,261800,263500,264900,266400,267700,45.0628999,-93.2060969
8,55416,Saint Louis Park,MN,44.9475726,-93.3569023,Minneapolis-St. Paul-Bloomington,Hennepin County,1212,254400.0,255500.0,258100.0,260200.0,261000.0,261400.0,262400.0,263700.0,264000.0,263500.0,263400.0,263400.0,263400.0,264600.0,267200.0,270000.0,271800.0,272400.0,272900,273700,274300,274600,275100,275500,276400,278300,281300,283800,284500,285200,287100,289300,291300,293000,294700,296700,298100,299200,300900,303400,306100,308700,310000,312100,315500,318100,319200,320900,324500,327500,328300,329600,331600,333000,334600,335700,335800,336200,338100,340800,342900,344100,44.9475726,-93.3569023
9,55408,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis-St. Paul-Bloomington,Hennepin County,1238,191500.0,192300.0,196000.0,200000.0,202600.0,204300.0,206100.0,207400.0,207000.0,206200.0,206900.0,208300.0,209000.0,210000.0,211800.0,213900.0,215800.0,217500.0,219500,222100,223500,223900,224800,226800,228300,230000,232300,234300,235400,236400,236600,236800,237800,239000,239700,241400,243800,245900,247800,250000,251900,253900,256800,260400,263400,266000,268400,270300,272600,275500,277500,279700,282900,285100,285600,284900,284100,284500,285200,285400,285900,286600,44.9772995,-93.2654692
